id,name_en,birth_date,source,dm_element_wood,dm_element_fire,dm_element_earth,dm_element_metal,dm_element_water,dm_yang,season_spring,season_summer,season_autumn,season_winter,fe_wood,fe_fire,fe_earth,fe_metal,fe_water,strength,tg_比肩,tg_劫财,tg_食神,tg_伤官,tg_偏财,tg_正财,tg_偏官,tg_正官,tg_偏印,tg_正印,tg_entropy,dominant_比肩,dominant_劫财,dominant_食神,dominant_伤官,dominant_偏财,dominant_正财,dominant_偏官,dominant_正官,dominant_偏印,dominant_正印,sc_甲己,sc_乙庚,sc_丙辛,sc_丁壬,sc_戊癸,bc6_子丑,bc6_寅亥,bc6_卯戌,bc6_辰酉,bc6_巳申,bc6_午未,bc3_water,bc3_fire,bc3_metal,bc3_wood,clash_子午,clash_丑未,clash_寅申,clash_卯酉,clash_辰戌,clash_巳亥,star_tianyi,star_wenchang,star_yima,has_birth_time,occupation_first
49520094-d654-495a-8735-37f42ae736d3,Dominique A,1968-10-06,astrodatabank,0,0,1,0,0,0,0,0,1,0,0,0,2,5,1,0,0,1,4,1,1,0,0,0,0,0,1.6645,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,作家
f77072e2-57fc-430f-bfdd-10612f192346,A. Chal,1986-05-30,astrodatabank,1,0,0,0,0,1,0,1,0,0,3,2,1,0,2,1,1,1,2,0,1,0,0,0,1,1,2.5216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,作家
1b7c2a2b-72a8-435d-b1a8-0433673e163d,A. D. G.,1947-12-19,astrodatabank,0,0,0,0,1,1,0,0,0,1,0,1,1,2,4,3,2,1,0,0,0,1,1,0,2,0,2.2359,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,作家
516d5151-f29d-49e8-b003-a0e661364c53,Per Aabel,1902-04-25,astrodatabank,0,0,1,0,0,1,1,0,0,0,3,1,3,0,1,3,2,0,0,0,1,0,3,0,1,0,1.8424,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,演员
03697d14-7ed0-4c52-8205-8ec8017752b7,Anne Aakervik,1947-05-09,astrodatabank,0,0,1,0,0,1,0,1,0,0,1,2,1,0,4,2,0,0,0,0,2,2,0,1,1,1,2.2359,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,政治家
68a57e77-2d02-4226-a83b-5503f3674845,Liv Aakvik,1948-06-23,astrodatabank,0,0,1,0,0,0,0,1,0,0,2,1,4,0,1,3,0,3,0,0,1,0,1,1,1,0,2.1281,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,演员
23ba925e-8391-4d12-898a-f1e5e6291659,Willie Aames,1960-07-15,astrodatabank,1,0,0,0,0,1,0,1,0,0,2,0,2,1,3,1,0,1,0,0,1,1,1,0,1,2,2.5216,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,企业家
781f6650-7cd3-43d7-aa25-a091739fd5d1,Finn Aamodt,1952-01-07,astrodatabank,0,0,0,0,1,1,0,0,0,1,1,0,1,3,3,1,1,1,0,1,0,0,0,1,0,3,2.1281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,企业家
bc70ee3e-139f-4998-9ffc-bea35c761169,Rune Aanderaa,1959-06-04,astrodatabank,0,1,0,0,0,0,0,1,0,0,0,3,3,1,1,2,0,2,2,1,0,1,0,1,0,0,2.2359,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,科学家
e1680aff-dafb-42c4-a4c9-df70fad6dc8c,Hank Aaron,1934-02-05,astrodatabank,0,1,0,0,0,0,1,0,0,0,2,2,3,1,0,3,0,1,1,2,0,1,0,0,0,2,2.2359,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,运动员
70f79f35-658e-4969-836f-4ae84fcf5983,Jean-Claude Aaron,1916-08-02,astrodatabank,0,0,0,1,0,0,0,1,0,0,2,1,3,2,0,3,0,1,0,0,1,1,0,1,2,1,2.5216,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,企业家
df08c1f4-94d0-483d-98a4-57e71cc03716,Anne Lise Aas,1925-04-01,astrodatabank,1,0,0,0,0,0,1,0,0,0,5,0,3,0,0,3,4,0,0,0,3,0,0,0,0,0,0.9852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,作家
80c5fa37-2d25-4601-b882-ce980a59a612,Kenny Aas,1947-06-18,astrodatabank,0,0,1,0,0,1,0,1,0,0,0,4,3,0,1,3,2,0,0,0,1,0,0,0,2,2,1.9502,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,作家
a0899507-0343-4dee-bc37-1a4a973319cf,Roald Aas,1928-03-25,astrodatabank,1,0,0,0,0,1,1,0,0,0,3,1,3,0,1,3,0,2,1,0,2,1,0,0,0,1,2.2359,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,企业家
32bf53f5-8f85-4969-bea9-af46506537f6,Ulf Aas,1919-09-14,astrodatabank,0,0,1,0,0,0,0,0,1,0,0,2,3,2,1,1,2,0,1,1,1,0,0,0,1,1,2.5216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,作家
e2df3f8c-a3ba-4be3-8b12-23dc10b93590,Kristin Kloster Aasen,1961-01-04,astrodatabank,0,1,0,0,0,0,0,0,0,1,0,1,2,3,2,0,0,0,1,1,2,1,2,0,0,0,2.2359,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,企业家
0b692212-fcf6-48b9-b7d3-24a68ca2fc2e,Andreas Aabel,1911-02-21,astrodatabank,0,0,0,0,1,1,1,0,0,0,2,0,1,2,3,1,2,0,2,0,0,0,1,0,1,1,2.2359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,演员
f390bd6d-7eb8-4e86-a9db-a71744441faa,Franzisca Aarflot,1963-05-20,astrodatabank,0,0,0,0,1,0,0,1,0,0,1,2,0,2,3,1,1,1,1,0,1,1,0,0,0,2,2.5216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,企业家
eb51e70f-63b2-4ac3-aaef-68ce01f4d13e,Didier Aaron,1923-04-27,astrodatabank,0,0,0,1,0,1,1,0,0,0,1,2,1,2,2,2,1,0,1,1,1,0,1,1,1,0,2.8074,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,企业家
940f2f6e-ed0f-42b2-abbe-dc9352c20f19,Harold Robert Aaron,1921-06-21,astrodatabank,1,0,0,0,0,0,0,1,0,0,3,1,1,3,0,0,1,1,1,0,0,1,2,1,0,0,2.5216,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,科学家
23e7b62e-6a53-4955-a521-aa5d3db954d6,Arne Aas,1931-07-07,astrodatabank,0,0,0,0,1,0,0,1,0,0,1,2,2,1,2,0,0,1,0,1,1,1,1,1,1,0,2.8074,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,企业家
8bee8c42-5937-4b02-a580-ca51f7e367a3,Kåre Aas,1955-05-25,astrodatabank,0,1,0,0,0,1,0,1,0,0,2,3,2,1,0,3,1,1,1,1,0,1,0,0,1,1,2.8074,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,政治家
a235d4ab-d593-43e6-b23d-a794345a6ad5,Daniel Abadie,1945-07-08,astrodatabank,0,0,1,0,0,1,0,1,0,0,2,2,2,1,1,3,0,1,0,1,0,1,1,1,1,1,2.8074,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,演员
e75371a8-4a4c-491a-b9b0-45cb9fa44336,Luc Abalo,1984-09-06,astrodatabank,0,0,0,0,1,0,0,0,1,0,2,0,0,3,3,3,1,1,1,1,0,0,0,0,0,3,2.1281,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,运动员
de99b3e6-6d8f-451c-b477-b4ecfea3147e,Salvador Abascal Infante,1910-05-18,astrodatabank,0,0,0,0,1,0,0,1,0,0,0,1,2,2,3,1,1,1,0,0,0,1,1,1,1,1,2.8074,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,政治家
9620d281-7ebd-47ee-a607-018fe19a1591,Diego Abatantuono,1955-05-20,astrodatabank,0,0,0,1,0,0,0,1,0,0,1,2,3,2,0,1,1,0,0,0,1,0,0,2,3,0,1.8424,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,演员
329c5062-6d3d-4a81-a7b3-205f8e639b35,Joël Abati,1970-04-25,astrodatabank,1,0,0,0,0,0,1,0,0,0,1,1,2,3,1,0,0,0,0,1,0,2,1,2,0,1,2.2359,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,运动员
f8e9b325-3faf-4f2e-ac06-e52a0da25efe,Marta Abba,1900-06-25,astrodatabank,0,0,1,0,0,0,0,1,0,0,1,2,1,1,3,2,0,0,0,1,2,1,0,1,1,1,2.5216,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,企业家
874bd573-4dee-49b5-829b-48aa1f844c05,Claudio Abbado,1933-06-26,astrodatabank,0,0,0,0,1,0,0,1,0,0,0,1,2,1,4,1,2,1,0,0,1,0,1,1,1,0,2.5216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,演员
556fa664-2e75-44eb-a565-6e6472be33aa,Agostino Abbagnale,1966-08-25,astrodatabank,0,1,0,0,0,1,0,0,1,0,1,5,1,1,0,1,2,2,1,0,1,0,0,0,1,0,2.2359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,运动员
336d0e6a-663a-4c2d-a776-3b6e541fa2c6,Nicola Abbagnano,1901-07-15,astrodatabank,1,0,0,0,0,1,0,1,0,0,3,1,2,1,1,1,0,2,0,1,0,2,0,1,1,0,2.2359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,作家
375f5e69-8a49-4862-8598-33423987fcd5,Claude Abbes,1927-05-24,astrodatabank,0,0,1,0,0,1,0,1,0,0,2,5,1,0,0,3,0,0,0,0,0,0,0,2,2,3,1.5567,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,运动员
46304fcc-ca3d-4bdf-8d92-d857b42a1250,Robert K. Abbett,1926-01-05,astrodatabank,1,0,0,0,0,1,0,0,0,1,2,1,2,1,2,3,0,1,0,1,1,1,1,0,1,1,2.8074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,作家
f9279146-bc38-4965-b0b7-cf384387691d,Edward Abbey,1927-01-29,astrodatabank,0,0,0,0,1,0,0,0,0,1,1,1,1,1,4,1,1,2,0,1,0,1,1,0,1,0,2.5216,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,政治家
2ec67d15-ac27-4223-bb25-4ff09f772b09,Christian Abbiati,1977-07-08,astrodatabank,0,1,0,0,0,1,0,1,0,0,1,4,2,0,1,1,1,2,1,1,0,0,0,1,1,0,2.5216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,运动员
